RunID	Sequenced	OnDell	Converted	InCloud	Downloaded	JobSubmitted	JobCompleted	BackToDell	Error	Closed
Auto_user_YGProton6-630-IONA_Test_20181227-A1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-947-IONA_Test_20181227-A2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-631-IONA_Test_20181227-B1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-948-IONA_Test_20181227-B2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-632-IONA_Test_20181228-A	1	1	1	13/0	13/0	12/12	12/12	0	0	1
Auto_user_YGProton6-633-IONA_Test_20181228-B	1	1	1	13/0	13/0	12/12	12/12	0	0	1
Auto_user_YGProton6-634-IONA_Test_20190101-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-635-IONA_Test_20190101-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-636-IONA_Test_20190102-A	1	1	1	11/11	11/11	10/10	10/10	0	0	1
Auto_user_YGProton6-637-IONA_Test_20190102-B	1	1	1	12/0	0/0	0/11	0/11	0	0	1
Auto_user_YG3-949-IONA_Test_20190104-A1	1	1	1	11/11	11/11	10/10	10/10	0	0	1
Auto_user_YGProton6-638-IONA_Test_20190104-A2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-950-IONA_Test_20190104-B1	1	1	1	11/11	11/11	10/10	10/10	0	0	1
Auto_user_YGProton6-639-IONA_Test_20190104-B2	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YGProton6-640-IONA_Test_20190108-A1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-951-IONA_Test_20190108-A2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-641-IONA_Test_20190108-B1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-952-IONA_Test_20190108-B2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-642-IONA_Test_20190110-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-643-IONA_Test_20190110-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-953-IONA_Test_20190111-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-954-IONA_Test_20190111-B	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YGProton6-644-IONA_Test_20190114-A1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-955-IONA_Test_20190114-A2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-645-IONA_Test_20190114-B1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-956-IONA_Test_20190114-B2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-646-IONA_Test_20190115-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-647-IONA_Test_20190115-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-648-IONA_Test_20190116-A	1	1	1	10/10	10/10	9/9	9/9	0	0	1
Auto_user_YGProton6-649-IONA_Test_20190116-B	1	1	1	10/10	10/10	9/9	9/9	0	0	1
Auto_user_YGProton6-650-IONA_Test_20190117-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-651-IONA_Test_20190117-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-957-IONA_Test_20190118-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-958-IONA_Test_20190118-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-652-IONA_Test_20190121-A1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-959-IONA_Test_20190121-A2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-653-IONA_Test_20190121-B1	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YG3-960-IONA_Test_20190121-B2	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YGProton6-654-IONA_Test_20190122-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-655-IONA_Test_20190122-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-656-IONA_Test_20190124-A	1	1	1	13/0	0/0	0/12	0/12	0	0	1
Auto_user_YGProton6-657-IONA_Test_20190124-B	1	1	1	13/0	0/0	0/12	0/12	0	0	1
Auto_user_YG3-961-IONA_Test_20190125-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-962-IONA_Test_20190125-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-658-IONA_Test_20190128-A1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-963-IONA_Test_20190128-A2	1	1	1	11/11	11/11	10/10	10/10	0	0	1
Auto_user_YGProton6-659-IONA_Test_20190128-B1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-964-IONA_Test_20190128-B2	1	1	1	10/10	10/10	9/9	9/9	0	0	1
Auto_user_YG3-965-IONA_Test_20190129-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-966-IONA_Test_20190129-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-660-IONA_Test_20190131-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-661-IONA_Test_20190131-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-967-IONA_Test_20190201-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-968-IONA_Test_20190201-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-662-IONA_Test_20190208-A1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-969-IONA_Test_20190208-A2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-663-IONA_Test_20190208-B1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-970-IONA_Test_20190208-B2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-664-IONA_Test_20190211-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-665-IONA_Test_20190211-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-971-IONA_Test_20190213-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-972-IONA_Test_20190213-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-666-IONA_Test_20190214-A1	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YG3-973-IONA_Test_20190214-A2	1	1	1	10/10	10/10	9/9	9/9	0	0	1
Auto_user_YGProton6-667-IONA_Test_20190214-B1	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YG3-974-IONA_Test_20190214-B2	1	1	1	10/10	10/10	9/9	9/9	0	0	1
Auto_user_YGProton6-668-IONA_Test_20190215-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-669-IONA_Test_20190215-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-975-IONA_Test_20190218-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-976-IONA_Test_20190218-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-670-IONA_Test_20190219-A	1	1	1	9/9	9/9	8/8	8/8	0	0	1
Auto_user_YGProton6-671-IONA_Test_20190219-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-672-IONA_Test_20190220-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-673-IONA_Test_20190220-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-674-IONA_Test_20190221-A1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-977-IONA_Test_20190221-A2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-675-IONA_Test_20190221-B1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-978-IONA_Test_20190221-B2	0	0	0	0	0/0	0/12	0/12	0	0	1
Auto_user_YGProton6-679-IONA_Test_20190221-B2	0	0	0	0	0/0	0/12	0/12	0	0	1
Auto_user_YGProton6-676-IONA_Test_20190222-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
